img,prev_type,prev,correct,targ,targ_x,targ_y,side,sprdnt,basic
stims/cs_001.jpg,scrambled,stims/ps_cs_001.jpg,l,targ_li.png,0.286,0.21,R,manmade,city_street
stims/cs_002.jpg,scrambled,stims/ps_cs_002.jpg,l,targ_li.png,0.302888889,0.178888889,R,manmade,city_street
stims/cs_003.jpg,intact,stims/cs_003.jpg,l,targ_li.png,0.387333333,-0.023333333,R,manmade,city_street
stims/cs_004.jpg,scrambled,stims/ps_cs_004.jpg,l,targ_li.png,0.395777778,0.007777778,R,manmade,city_street
stims/cs_005.jpg,scrambled,stims/ps_cs_005.jpg,k,targ_ka.png,0.290222222,-0.202222222,R,manmade,city_street
stims/cs_006.jpg,scrambled,stims/ps_cs_006.jpg,l,targ_li.png,0.273333333,0.233333333,R,manmade,city_street
stims/cs_007.jpg,intact,stims/cs_007.jpg,l,targ_li.png,0.269111111,0.241111111,R,manmade,city_street
stims/cs_008.jpg,intact,stims/cs_008.jpg,l,targ_li.png,0.374666667,-0.046666667,R,manmade,city_street
stims/cs_009.jpg,scrambled,stims/ps_cs_009.jpg,k,targ_ka.png,0.349333333,-0.093333333,R,manmade,city_street
stims/cs_010.jpg,scrambled,stims/ps_cs_010.jpg,k,targ_ka.png,0.235333333,0.303333333,R,manmade,city_street
stims/f_001.jpg,intact,stims/f_001.jpg,l,targ_li.png,-0.302888889,0.178888889,L,natural,forest
stims/f_002.jpg,scrambled,stims/ps_f_002.jpg,k,targ_ka.png,-0.222666667,0.326666667,L,natural,forest
stims/f_003.jpg,intact,stims/f_003.jpg,l,targ_li.png,-0.248,0.28,L,natural,forest
stims/f_004.jpg,scrambled,stims/ps_f_004.jpg,k,targ_ka.png,-0.214222222,-0.342222222,L,natural,forest
stims/f_005.jpg,scrambled,stims/ps_f_005.jpg,k,targ_ka.png,-0.328222222,0.132222222,L,natural,forest
stims/f_006.jpg,intact,stims/f_006.jpg,l,targ_li.png,-0.374666667,-0.046666667,L,natural,forest
stims/f_007.jpg,scrambled,stims/ps_f_007.jpg,l,targ_li.png,-0.378888889,0.038888889,L,natural,forest
stims/f_008.jpg,scrambled,stims/ps_f_008.jpg,l,targ_li.png,-0.4,0,L,natural,forest
stims/f_009.jpg,scrambled,stims/ps_f_009.jpg,l,targ_li.png,-0.298666667,0.186666667,L,natural,forest
stims/f_010.jpg,intact,stims/f_010.jpg,l,targ_li.png,-0.332444444,-0.124444444,L,natural,forest
